Date,Year,Report,Dividend,Type
15-Nov-21,2022,MID,0.17,Cash
18-May-21,2021,FINAL,0.74,Cash
09-Nov-20,2021,MID,0.17,Cash
18-May-20,2020,FINAL,0.36,Cash
11-Nov-19,2020,MID,0.17,Cash
20-May-19,2019,FINAL,0.5,Cash
12-Nov-18,2019,MID,0.17,Cash
17-May-18,2018,FINAL,0.63,Cash
09-Nov-17,2018,MID,0.17,Cash
16-May-17,2017,FINAL,0.53,Cash
10-Nov-16,2017,MID,0.17,Cash
17-May-16,2016,FINAL,0.25,Cash
12-Nov-15,2016,MID,0.17,Cash
19-May-15,2015,FINAL,0.61,Cash
11-Nov-14,2015,MID,0.17,Cash
22-May-14,2014,FINAL,0.64,Cash
13-Nov-13,2014,MID,0.16,Cash
15-May-13,2013,FINAL,0.64,Cash
14-Nov-12,2013,MID,0.16,Cash
23-May-12,2012,FINAL,0.6,Cash
16-Nov-11,2012,MID,0.16,Cash
31-May-11,2011,FINAL,0.62,Cash
17-Nov-10,2011,MID,0.16,Cash
14-Jun-10,2010,FINAL,0.62,Cash
25-Nov-09,2010,MID,0.16,Cash
15-Jun-09,2009,FINAL,0.41,Cash
19-Nov-08,2009,MID,0.12,Cash
03-Jul-08,2008,FINAL,0.51,Cash
14-Nov-07,2008,MID,0.12,Cash
20-Jun-07,2007,FINAL,0.41,Cash
